PROCEDIMENTO,RN (ALTERACAO),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
"LIPÓIDES BIRREFRINGENTES, PESQUISA",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MELANINA, PESQUISA",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"METANEFRINAS URINÁRIAS, DOSAGEM",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
MICROALBUMINÚRIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MIOGLOBINA, DOSAGEM OU PESQUISA",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"OSMOLALIDADE, DETERMINAÇÃO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PESQUISA DE SULFATÍDEOS E MATERIAL METACROMÁTICO NA URINA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PORFOBILINOGÊNIO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"PORFOBILINOGÊNIO, QUANTITATIVO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"PROTEÍNA DE BENCE JONES, QUANTITATIVA (CADEIAS LEVES LIVRES, KAPPA E LAMBDA, URINA)",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROVA DE CONCENTRAÇÃO URINÁRIA COM RESTRIÇÃO HÍDRICA E ACETATO DE DESMOPRESSINA (DDAVP),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ROTINA DE URINA (EXAME MACROSCÓPICO E FÍSICO, INCLUINDO PH E DENSIDADE; TESTES QUÍMICOS PARA GLICOSE, PROTEÍNA, CORPOS CETÔNICOS, BILIRRUBINA, HEMOGLOBINA E UROBILINOGÊNIO; EXAME MICROSCÓPICO DO SEDIMENTO)",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"UROPORFIRINAS, DOSAGEM",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,URINÁLISE,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EXAME DA BILE E DO SUCO DUODENAL (CARACTERES FÍSICOS E EXAME MICROSCÓPICO E PARASITOLÓGICO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
GASTROACIDOGRAMA - SECREÇÃO BASAL PARA 60 MINUTOS E 4 AMOSTRAS APÓS O ESTÍMULO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PESQUISA DE EOSINÓFILOS EM MUCO NASAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE FUNÇÃO PANCREÁTICA APÓS ESTIMULAÇÃO PELA SECRETINA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"TESTE DO SUOR, COM DOSAGEM DE CLORETO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,DIVERSOS,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"2,5-HEXANODIONA, AVALIAÇÃO DA EXPOSIÇÃO AO HEXANO.",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ÁCIDO DELTA AMINOLEVULÍNICO (PARA CHUMBO INORGÂNICO) - PESQUISA E/OU DOSAGEM,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ÁCIDO DELTA AMINOLEVULÍNICO DESIDRATASE (PARA CHUMBO INORGÂNICO) - PESQUISA E/OU DOSAGEM,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO FENILGLIOXÍLICO, AVALIAÇÃO DA EXPOSIÇÃO AO ESTIRENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO HIPÚRICO, AVALIAÇÃO DA EXPOSIÇÃO AO TOLUENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO METILMALÔNICO, PESQUISA E/OU DOSAGEM",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO MANDÉLICO, AVALIAÇÃO DA EXPOSIÇÃO AO ESTIRENO E AO ETILBENZENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO METIL-HIPÚRICO, AVALIAÇÃO DA EXPOSIÇÃO AO XILENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ÁCIDO SALICÍLICO (SALICILATOS),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ÁCIDO TRICLOROACÉTICO, AVALIAÇÃO DA EXPOSIÇÃO AO TETRACLOROETILENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"ARSÊNIO, CÁDMIO, COBALTO, CROMO, MANGANÊS, MERCÚRIO, NÍQUEL",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"CARBOXIHEMOGLOBINA, AVALIAÇÃO DA EXPOSIÇÃO AO MONÓXIDO DE CARBONO OU DICLOROMETANO.",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
CHUMBO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"COLINESTERASE, AVALIAÇÃO DA EXPOSIÇÃO AOS INSETICIDAS ORGANOFOSFORADOS E CARBAMATOS",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ETANOL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FENOL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
FLÚOR E FLUORETOS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FORMALDEÍDO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
METANOL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
METIL-ETIL-CETONA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"P-AMINOFENOL, AVALIAÇÃO DA EXPOSIÇÃO À ANILINA",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"TRICLOROCOMPOSTOS TOTAIS, AVALIAÇÃO DA EXPOSIÇÃO AO TRICLOROETANO E TRICLOROETILENO",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ZINCO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ZINCOPROTOPORFIRINA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TOXICOLOGIA / MONITORIZAÇÃO TERAPÊUTICA,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AGENTES INFECCIOSOS NA ENCEFALITE E MENINGITE - DETECÇÃO POR PCR MULTIPLEX EM PAINEL NO LÍQUOR,627/2025,17/02/2025,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"CHLAMYDIA TRACHOMATIS, DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO OU PCR; CHLAMYDIA TRACHOMATIS, ANTÍGENO.",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"CITOMEGALOVÍRUS - QUALITATIVO, POR PCR (COM DIRETRIZ DE UTILIZAÇÃO)",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,14,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
DETECÇÃO/TIPAGEM HERPES VÍRUS 1 E 2 NO LÍQUOR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,120,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE B - TESTE QUANTITATIVO (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,28,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C - GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,29,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C (QUALITATIVO) POR PCR OU BDNA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HEPATITE C (QUANTITATIVO) POR PCR OU BDNA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HIV - CARGA VIRAL POR PCR, NASBA OU BDNA",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HIV - QUALITATIVO POR PCR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"HIV, GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO)",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,31,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HLA B27, FENOTIPAGEM/GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO)",465/2021 625/2024,01/04/2021 23/12/2024,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,32,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HPV - TIPAGEM POR PCR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
HPV (VÍRUS DO PAPILOMA HUMANO) - DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"HTLV-I, POR PCR",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM TUBERCULOSIS, DETECÇÃO POR PCR",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), DETECÇÃO DE RESISTÊNCIA A ANTIBIÓTICOS POR PCR",480/2022,02/07/2022,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), PESQUISA PCR EM TEMPO REAL",480/2022,02/07/2022,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PCR EM TEMPO REAL PARA INFLUENZA A E B (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,129,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PCR EM TEMPO REAL PARA VÍRUS SINCICIAL RESPIRATÓRIO (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,131,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
"PROTEÍNA S TOTAL + LIVRE, DOSAGEM",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,126,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 1ª LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,168,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE DE HIBRIDIZAÇÃO COM SONDA EM LINHA (LPA 2ª LINHA) (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,169,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE PARA DETECÇÃO DO VÍRUS MONKEYPOX (MPXV) POR BIOLOGIA MOLECULAR (COM DIRETRIZ DE UTILIZAÇÃO,544/2022,21/09/2022,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,157,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TOXOPLASMOSE - PESQUISA EM LÍQUIDO AMINIÓTICO POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,125,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
VÍRUS ZIKA - POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,111,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TRANSFUSÃO AMBULATORIAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TRANSFUSÃO HOSPITALAR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PLASMAFÉRESE TERAPÊUTICA - INCLUI CITAFÉRESE/HEMAFÉRESE TERAPÊUTICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SANGRIA TERAPÊUTICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
SANGUE TOTAL RECONSTITUÍDO PARA EXSANGUÍNEO-TRANSFUSÃO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
